Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;
Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Augsburg;29;26. Apr;45.3;27;297;2,43;27.0;33;20;53;30;3;4;68;1;Jan 22;0.74;Jan 96;01. Nov;Jan 85
Bayern Munich;30;28. Feb;66.6;27;297;2,43;27.0;94;71;165;83;11;11;47;2;Mrz 48;Feb 63;06. Nov;03. Jul;Mai 70
Dortmund;25;27.0;53.9;27;297;2,43;27.0;57;41;98;51;6;9;48;2;02. Nov;Jan 52;Mrz 63;Jan 89;Mrz 41
Eintracht Frankfurt;28;25. Mai;54.6;27;297;2,43;27.0;50;36;86;46;4;4;50;3;Jan 85;Jan 33;Mrz 19;Jan 70;03. Apr
Freiburg;24;27. Mrz;48.8;27;297;2,43;27.0;37;19;56;32;5;6;41;3;Jan 37;0.70;02. Jul;Jan 19;Jan 89
Gladbach;28;26. Jul;45.8;27;297;2,43;27.0;31;21;52;27;4;7;38;2;Jan 15;0.78;Jan 93;1.00;Jan 78
Hamburger SV;28;26. Mai;46.3;27;297;2,43;27.0;31;23;54;28;3;5;65;6;Jan 15;0.85;2.00;01. Apr;Jan 89
Heidenheim;30;27. Mrz;42.0;27;297;2,43;27.0;27;17;44;25;2;2;43;1;1.00;0.63;Jan 63;0.93;Jan 56
Hoffenheim;26;27. Apr;54.6;27;297;2,43;27.0;50;37;87;46;4;4;50;2;Jan 85;Jan 37;Mrz 22;Jan 70;03. Jul
Köln;27;25. Jul;47.1;27;297;2,43;27.0;37;27;64;36;1;1;51;3;Jan 37;1.00;Feb 37;Jan 33;Feb 33
Leverkusen;28;27.0;59.4;27;297;2,43;27.0;51;38;89;47;4;4;62;2;Jan 89;Jan 41;Mrz 30;Jan 74;Mrz 15
Mainz 05;30;29. Mrz;43.2;27;297;2,43;27.0;33;20;53;26;7;8;61;5;Jan 22;0.74;Jan 96;0.96;Jan 70
RB Leipzig;29;25. Sep;53.7;27;297;2,43;27.0;51;39;90;50;1;3;39;0;Jan 89;Jan 44;Mrz 33;Jan 85;Mrz 30
St Pauli;23;28. Jan;44.9;27;297;2,43;27.0;24;17;41;20;4;5;41;1;0.89;0.63;Jan 52;0.74;Jan 37
Stuttgart;26;26. Jan;58.6;27;297;2,43;27.0;55;43;98;51;4;5;53;1;02. Apr;Jan 59;Mrz 63;Jan 89;Mrz 48
Union Berlin;24;27. Sep;37.7;27;297;2,43;27.0;31;18;49;28;3;5;61;3;Jan 15;0.67;Jan 81;01. Apr;Jan 70
Werder Bremen;27;25. Jul;52.1;27;297;2,43;27.0;29;22;51;27;2;3;65;3;01. Jul;0.81;Jan 89;1.00;Jan 81
Wolfsburg;30;26. Jan;46.1;27;297;2,43;27.0;35;29;64;32;3;3;56;3;Jan 30;01. Jul;Feb 37;Jan 19;Feb 26
