Playing Time;;;;Performance;;;;;;;;;;Penalty Kicks;;;;;;
Squad;# Pl;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%
nl Ajax;2;8;8;720;8.0;21;Feb 62;44;27;61.4;2;0;6;0;0.0;4;4;0;0;0.0
eng Arsenal;2;10;10;900;10.0;5;0.50;26;22;84.6;9;1;0;6;60.0;1;1;0;0;0.0
it Atalanta;2;12;12;1,08;12.0;23;Jan 92;60;39;63.3;5;1;6;3;25.0;2;1;1;0;50.0
es Athletic Club;1;8;8;720;8.0;14;Jan 75;38;24;63.2;2;2;4;2;25.0;0;0;0;0;
es Atlético Madrid;2;12;12;1,08;12.0;24;2.00;67;44;65.7;6;2;4;0;0.0;1;1;0;0;0.0
es Barcelona;2;10;10;900;10.0;17;Jan 70;42;26;61.9;6;2;2;0;0.0;1;1;0;0;0.0
de Bayern Munich;2;10;10;900;10.0;10;1.00;45;34;77.8;9;0;1;2;20.0;0;0;0;0;
pt Benfica;1;10;10;900;10.0;15;Jan 50;50;34;70.0;3;0;7;2;20.0;0;0;0;0;
no Bodø/Glimt;1;12;12;1,11;12. Mrz;22;Jan 78;88;67;76.1;5;3;4;1;08. Mrz;1;1;0;0;0.0
eng Chelsea;2;10;10;900;10.0;18;Jan 80;36;21;58.3;5;1;4;3;30.0;3;3;0;0;0.0
be Club Brugge;3;10;10;900;10.0;24;Feb 40;63;41;65.1;3;2;5;1;10.0;3;2;1;0;33.3
de Dortmund;1;10;10;900;10.0;21;02. Okt;52;32;61.5;4;2;4;2;20.0;1;1;0;0;0.0
de Eintracht Frankfurt;2;8;8;720;8.0;21;Feb 62;57;37;64.9;1;1;6;1;12. Mai;1;1;0;0;0.0
dk FC Copenhagen;1;8;8;720;8.0;21;Feb 62;47;28;59.6;2;2;4;0;0.0;3;2;0;1;0.0
kz FC Kairat;2;8;8;720;8.0;22;Feb 75;63;44;68.3;0;1;7;1;12. Mai;3;2;1;0;33.3
tr Galatasaray;2;12;12;1,11;12. Mrz;21;Jan 70;66;46;69.7;5;1;6;3;25.0;3;1;2;0;66.7
it Inter;1;10;10;900;10.0;12;Jan 20;39;28;71.8;5;0;5;4;40.0;1;1;0;0;0.0
it Juventus;2;10;10;930;10. Mrz;17;Jan 65;54;38;72.2;4;4;2;3;30.0;3;2;0;1;0.0
de Leverkusen;2;12;12;1,08;12.0;17;Jan 42;54;37;72.2;4;5;3;5;41.7;2;2;0;0;0.0
eng Liverpool;2;10;10;900;10.0;9;0.90;27;20;74.1;7;0;3;5;50.0;2;2;0;0;0.0
;;Playing Time;;;;Performance;;;;;;;;;;Penalty Kicks;;;;
Squad;# Pl;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%
eng Manchester City;2;10;10;900;10.0;14;Jan 40;31;20;61.3;5;1;4;3;30.0;3;2;1;0;33.3
fr Marseille;1;8;8;720;8.0;14;Jan 75;46;35;73.9;3;0;5;1;12. Mai;3;2;1;0;33.3
fr Monaco;2;10;10;900;10.0;19;Jan 90;51;33;62.7;2;5;3;4;40.0;1;0;1;0;100.0
it Napoli;2;8;8;720;8.0;15;Jan 87;38;25;65.8;2;2;4;2;25.0;3;2;1;0;33.3
eng Newcastle United;2;12;12;1,08;12.0;18;Jan 50;58;44;72.4;6;3;3;4;33.3;4;2;2;0;50.0
gr Olympiacos;2;10;10;900;10.0;16;Jan 60;35;21;60.0;3;3;4;4;40.0;2;2;0;0;0.0
cy Pafos FC;2;8;8;720;8.0;11;Jan 37;46;35;76.1;2;3;3;3;37.5;0;0;0;0;
fr Paris Saint-Germain;2;12;12;1,08;12.0;17;Jan 42;44;28;63.6;7;3;2;3;25.0;2;1;0;1;0.0
nl PSV;1;8;8;720;8.0;16;2.00;46;31;67.4;2;2;4;0;0.0;1;1;0;0;0.0
az Qarabağ;1;10;10;900;10.0;30;3.00;68;42;60.3;3;1;6;1;10.0;4;3;1;0;25.0
es Real Madrid;2;12;12;1,08;12.0;14;Jan 17;73;61;83.6;9;0;3;4;33.3;2;2;0;0;0.0
cz Slavia Prague;2;8;8;720;8.0;19;Feb 37;59;44;72.9;0;3;5;2;25.0;4;3;1;0;25.0
pt Sporting CP;2;10;10;930;10. Mrz;14;Jan 35;45;32;71.1;6;1;3;2;20.0;1;1;0;0;0.0
eng Tottenham Hotspur;2;10;10;900;10.0;14;Jan 40;43;30;69.8;6;2;2;6;60.0;2;1;0;1;0.0
be Union SG;1;8;8;720;8.0;17;02. Dez;31;18;58.1;3;0;5;2;25.0;5;4;0;1;0.0
es Villarreal;2;8;8;720;8.0;18;Feb 25;36;18;50.0;0;1;7;0;0.0;2;0;1;1;100.0
