Standard;;;;;;;;;;;;
Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
nl Ajax;27;8.0;8;83;27;32.5;Okt 37;Mrz 38;0.07;0.22;2;2
eng Arsenal;29;10.0;26;161;77;47.8;16. Okt;Jul 70;0.15;0.31;2;2
it Atalanta;25;12.0;16;166;53;31.9;13.83;Apr 42;0.08;0.26;2;3
es Athletic Club;25;8.0;9;84;25;29. Aug;Okt 50;03. Dez;0.11;0.36;0;0
es Atlético Madrid;26;12.0;30;181;73;40.3;15. Aug;06. Aug;0.15;0.38;2;2
es Barcelona;24;10.0;29;167;70;41.9;16.70;7.00;0.15;0.36;4;4
de Bayern Munich;25;10.0;31;189;82;43.4;18.90;Aug 20;0.15;0.34;3;4
pt Benfica;24;10.0;11;135;45;33.3;13.50;Apr 50;0.07;0.22;1;2
no Bodø/Glimt;22;12. Mrz;22;132;60;45.5;Okt 70;Apr 86;0.15;0.33;2;4
eng Chelsea;27;10.0;16;139;56;40.3;13.90;Mai 60;0.09;0.23;3;3
be Club Brugge;26;10.0;19;130;55;42.3;13.00;Mai 50;0.15;0.35;0;0
de Dortmund;22;10.0;22;110;47;42.7;11.00;Apr 70;0.18;0.43;2;4
de Eintracht Frankfurt;25;8.0;9;55;24;43.6;Jun 87;3.00;0.15;0.33;1;1
dk FC Copenhagen;22;8.0;11;84;37;44.0;Okt 50;Apr 62;0.12;0.27;1;2
kz FC Kairat;25;8.0;7;79;22;27. Aug;Sep 87;Feb 75;0.08;0.27;1;1
tr Galatasaray;23;12. Mrz;16;156;60;38.5;Dez 65;Apr 86;0.08;0.22;3;3
it Inter;22;10.0;17;180;54;30.0;18.00;Mai 40;0.09;0.30;1;1
it Juventus;24;10. Mrz;19;163;61;37.4;15.77;Mai 90;0.11;0.30;1;1
de Leverkusen;26;12.0;14;132;47;35.6;11.00;Mrz 92;0.10;0.28;1;2
eng Liverpool;23;10.0;23;206;85;41.3;20.60;Aug 50;0.11;0.26;1;2
;;;Standard;;;;;;;;;
Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
eng Manchester City;26;10.0;16;156;68;43.6;15.60;Jun 80;0.10;0.22;1;1
fr Marseille;24;8.0;11;110;43;39.1;13.75;Mai 37;0.10;0.26;0;0
fr Monaco;28;10.0;12;134;48;35.8;13.40;Apr 80;0.08;0.23;1;3
it Napoli;24;8.0;8;94;29;30. Sep;Nov 75;Mrz 62;0.09;0.28;0;1
eng Newcastle United;25;12.0;29;169;79;46.7;14. Aug;Jun 58;0.14;0.30;5;5
gr Olympiacos;24;10.0;10;126;35;27. Aug;Dez 60;Mrz 50;0.07;0.26;1;1
cy Pafos FC;20;8.0;7;76;28;36.8;Sep 50;Mrz 50;0.09;0.25;0;0
fr Paris Saint-Germain;22;12.0;34;240;90;37.5;20.00;Jul 50;0.14;0.37;1;4
nl PSV;21;8.0;15;86;31;36.0;Okt 75;Mrz 87;0.16;0.45;1;1
az Qarabağ;21;10.0;16;103;41;39.8;Okt 30;04. Okt;0.15;0.37;1;2
es Real Madrid;30;12.0;28;212;83;39.2;17.67;Jun 92;0.11;0.29;4;5
cz Slavia Prague;23;8.0;4;99;30;30. Mrz;Dez 38;Mrz 75;0.04;0.13;0;0
pt Sporting CP;29;10. Mrz;21;136;55;40.4;13.16;Mai 32;0.14;0.35;2;3
eng Tottenham Hotspur;27;10.0;19;129;54;41.9;Dez 90;Mai 40;0.12;0.30;3;4
be Union SG;21;8.0;8;95;39;41.1;Nov 87;Apr 87;0.07;0.18;1;1
es Villarreal;25;8.0;5;109;30;27. Mai;13.62;Mrz 75;0.05;0.17;0;
